species,decimalLatitude,decimalLongitude,eventDate,geometry
Trichorhina tomentosa,59.8703,17.61825,2018-10-11,POINT (17.61825 59.8703)
Trichorhina tomentosa,59.366125,18.031057,1997-05-31,POINT (18.031057 59.366125)
Trichorhina tomentosa,37.79598,-25.49221,1957,POINT (-25.49221 37.79598)
Trichorhina tomentosa,37.79591,-25.48653,1957,POINT (-25.48653 37.79591)
Trichorhina tomentosa,57.70565,11.97592,2018-04-12,POINT (11.97592 57.70565)
Trichorhina tomentosa,59.8703,17.61825,2018-04-12,POINT (17.61825 59.8703)
Trichorhina tomentosa,57.70555,11.9757,2018-04-06,POINT (11.9757 57.70555)
Trichorhina tomentosa,57.70557,11.97576,2018-04-04,POINT (11.97576 57.70557)
Trichorhina tomentosa,59.8703,17.61825,2018-03-01,POINT (17.61825 59.8703)
Trichorhina tomentosa,59.87077,17.62252,2017-02-20,POINT (17.62252 59.87077)
Trichorhina tomentosa,57.70554,11.97576,2018-01-15T11:20/2018-01-15T13:15,POINT (11.97576 57.70554)
Trichorhina tomentosa,50.925,4.33004,2016-05-01,POINT (4.33004 50.925)
Trichorhina tomentosa,51.0349,3.72332,2015-12-18,POINT (3.72332 51.0349)
Trichorhina tomentosa,51.0349,3.7233,2016-11-23,POINT (3.7233 51.0349)
Trichorhina tomentosa,57.69551,11.98929,2015-11-09,POINT (11.98929 57.69551)
Trichorhina tomentosa,57.69551,11.98929,2015-11-06,POINT (11.98929 57.69551)
Trichorhina tomentosa,57.69579,11.98921,2015-09-24,POINT (11.98921 57.69579)
Trichorhina tomentosa,57.69551,11.98929,2015-02-21,POINT (11.98929 57.69551)
Trichorhina tomentosa,59.8703,17.61825,2017-03-01,POINT (17.61825 59.8703)
Trichorhina tomentosa,59.8703,17.61825,2017-02-20,POINT (17.61825 59.8703)
Trichorhina tomentosa,57.70563,11.97593,2016-01-06,POINT (11.97593 57.70563)
Trichorhina tomentosa,-0.95,-89.5,1933-02-01,POINT (-89.5 -0.95)
Trichorhina tomentosa,16.25,-61.583,,POINT (-61.583 16.25)
Trichorhina tomentosa,4.0,-72.0,1930,POINT (-72 4)
Trichorhina tomentosa,10.0,-84.0,1927-03,POINT (-84 10)
Trichorhina tomentosa,13.0,-85.0,1930-09-22,POINT (-85 13)
Trichorhina tomentosa,52.53,13.42,,POINT (13.42 52.53)
Trichorhina tomentosa,59.921103,10.771723,2002-03-13,POINT (10.771723 59.921103)
Trichorhina tomentosa,59.921103,10.771723,2001-10-24,POINT (10.771723 59.921103)
Trichorhina tomentosa,59.921103,10.771723,1999-01-29,POINT (10.771723 59.921103)
Trichorhina tomentosa,59.921103,10.771723,1993-10-28,POINT (10.771723 59.921103)
Folsomia candida,51.970641,5.641871,1986-10-31,POINT (5.641871 51.970641)
Folsomia candida,51.970641,5.641871,1986-10-31,POINT (5.641871 51.970641)
Folsomia candida,51.970641,5.641871,1986-10-31,POINT (5.641871 51.970641)
Folsomia candida,51.970641,5.641871,1986-10-31,POINT (5.641871 51.970641)
Folsomia candida,52.410727,6.893704,2000-05-30,POINT (6.893704 52.410727)
Folsomia candida,51.970641,5.641871,2000-05-23,POINT (5.641871 51.970641)
Folsomia candida,52.236422,6.375374,2000-05-01,POINT (6.375374 52.236422)
Folsomia candida,53.182067,6.097721,2004-09-08,POINT (6.097721 53.182067)
Folsomia candida,50.154827,7.196554,2026-02-09T00:00,POINT (7.196554 50.154827)
Folsomia candida,43.614561,3.870939,2021-10-11/2021-10-22,POINT (3.870939 43.614561)
Folsomia candida,43.668839,3.904028,2021-10-11/2021-10-22,POINT (3.904028 43.668839)
Folsomia candida,43.624583,3.921356,2021-10-11/2021-10-22,POINT (3.921356 43.624583)
Folsomia candida,43.653225,3.789069,2021-10-11/2021-10-22,POINT (3.789069 43.653225)
Folsomia candida,43.611642,3.882217,2021-10-11/2021-10-22,POINT (3.882217 43.611642)
Folsomia candida,43.616103,3.828831,2021-10-11/2021-10-22,POINT (3.828831 43.616103)
Folsomia candida,43.624583,3.921356,2021-10-11/2021-10-22,POINT (3.921356 43.624583)
Folsomia candida,43.623364,3.8354,2021-10-11/2021-10-22,POINT (3.8354 43.623364)
Folsomia candida,43.62995,3.828278,2021-10-11/2021-10-22,POINT (3.828278 43.62995)
Folsomia candida,43.572061,3.836925,2021-10-11/2021-10-22,POINT (3.836925 43.572061)
Folsomia candida,43.614561,3.870939,2021-10-11/2021-10-22,POINT (3.870939 43.614561)
Folsomia candida,43.611642,3.882217,2021-10-11/2021-10-22,POINT (3.882217 43.611642)
Folsomia candida,43.653225,3.789069,2021-10-11/2021-10-22,POINT (3.789069 43.653225)
Folsomia candida,43.644794,3.797042,2021-10-11/2021-10-22,POINT (3.797042 43.644794)
Folsomia candida,43.600817,3.904325,2021-10-11/2021-10-22,POINT (3.904325 43.600817)
Folsomia candida,43.572061,3.836925,2021-10-11/2021-10-22,POINT (3.836925 43.572061)
Folsomia candida,43.573825,3.854731,2021-10-11/2021-10-22,POINT (3.854731 43.573825)
Folsomia candida,43.665556,3.882839,2021-10-11/2021-10-22,POINT (3.882839 43.665556)
Folsomia candida,43.668839,3.904028,2021-10-11/2021-10-22,POINT (3.904028 43.668839)
Folsomia candida,43.614561,3.870939,2021-10-11/2021-10-22,POINT (3.870939 43.614561)
Folsomia candida,43.665556,3.882839,2021-10-11/2021-10-22,POINT (3.882839 43.665556)
Folsomia candida,43.607328,3.860133,2021-10-11/2021-10-22,POINT (3.860133 43.607328)
Folsomia candida,43.600817,3.904325,2021-10-11/2021-10-22,POINT (3.904325 43.600817)
Folsomia candida,43.668839,3.904028,2021-10-11/2021-10-22,POINT (3.904028 43.668839)
Folsomia candida,43.624583,3.921356,2021-10-11/2021-10-22,POINT (3.921356 43.624583)
Folsomia candida,43.572061,3.836925,2021-10-11/2021-10-22,POINT (3.836925 43.572061)
Folsomia candida,43.600817,3.904325,2021-10-11/2021-10-22,POINT (3.904325 43.600817)
Folsomia candida,43.675725,3.892603,2021-10-11/2021-10-22,POINT (3.892603 43.675725)
Folsomia candida,43.608125,3.895239,2021-10-11/2021-10-22,POINT (3.895239 43.608125)
Folsomia candida,43.599456,3.898958,2021-10-11/2021-10-22,POINT (3.898958 43.599456)
Folsomia candida,43.6535,3.881606,2021-10-11/2021-10-22,POINT (3.881606 43.6535)
Folsomia candida,43.644794,3.797042,2021-10-11/2021-10-22,POINT (3.797042 43.644794)
Folsomia candida,43.618706,3.896167,2021-10-11/2021-10-22,POINT (3.896167 43.618706)
Folsomia candida,43.6535,3.881606,2021-10-11/2021-10-22,POINT (3.881606 43.6535)
Folsomia candida,43.599456,3.898958,2021-10-11/2021-10-22,POINT (3.898958 43.599456)
Folsomia candida,43.608125,3.895239,2021-10-11/2021-10-22,POINT (3.895239 43.608125)
Folsomia candida,43.665556,3.882839,2021-10-11/2021-10-22,POINT (3.882839 43.665556)
Folsomia candida,43.675725,3.892603,2021-10-11/2021-10-22,POINT (3.892603 43.675725)
Folsomia candida,43.644794,3.797042,2021-10-11/2021-10-22,POINT (3.797042 43.644794)
Folsomia candida,43.620469,3.818247,2021-10-11/2021-10-22,POINT (3.818247 43.620469)
Folsomia candida,43.654608,3.889572,2021-10-11/2021-10-22,POINT (3.889572 43.654608)
Folsomia candida,43.608125,3.895239,2021-10-11/2021-10-22,POINT (3.895239 43.608125)
Folsomia candida,43.618706,3.896167,2021-10-11/2021-10-22,POINT (3.896167 43.618706)
Folsomia candida,43.610617,3.885272,2021-10-11/2021-10-22,POINT (3.885272 43.610617)
Folsomia candida,43.593297,3.882844,2021-10-11/2021-10-22,POINT (3.882844 43.593297)
Folsomia candida,43.616103,3.828831,2021-10-11/2021-10-22,POINT (3.828831 43.616103)
Folsomia candida,43.654608,3.889572,2021-10-11/2021-10-22,POINT (3.889572 43.654608)
Folsomia candida,43.675725,3.892603,2021-10-11/2021-10-22,POINT (3.892603 43.675725)
Folsomia candida,43.593297,3.882844,2021-10-11/2021-10-22,POINT (3.882844 43.593297)
Folsomia candida,43.618706,3.896167,2021-10-11/2021-10-22,POINT (3.896167 43.618706)
Folsomia candida,43.611642,3.882217,2021-10-11/2021-10-22,POINT (3.882217 43.611642)
Folsomia candida,43.605406,3.865083,2021-10-11/2021-10-22,POINT (3.865083 43.605406)
Folsomia candida,43.616103,3.828831,2021-10-11/2021-10-22,POINT (3.828831 43.616103)
Folsomia candida,43.616506,3.857597,2021-10-11/2021-10-22,POINT (3.857597 43.616506)
Folsomia candida,43.609922,3.89045,2021-10-11/2021-10-22,POINT (3.89045 43.609922)
Folsomia candida,43.600822,3.926353,2021-10-11/2021-10-22,POINT (3.926353 43.600822)
Folsomia candida,43.618756,3.923339,2021-10-11/2021-10-22,POINT (3.923339 43.618756)
Folsomia candida,43.616506,3.857597,2021-10-11/2021-10-22,POINT (3.857597 43.616506)
Folsomia candida,43.609922,3.89045,2021-10-11/2021-10-22,POINT (3.89045 43.609922)
Folsomia candida,43.600822,3.926353,2021-10-11/2021-10-22,POINT (3.926353 43.600822)
Folsomia candida,43.573825,3.854731,2021-10-11/2021-10-22,POINT (3.854731 43.573825)
Folsomia candida,43.605406,3.865083,2021-10-11/2021-10-22,POINT (3.865083 43.605406)
