LastName	FirstName	DatasetID	Dataset	SpeciesName	AccSpeciesID	AccSpeciesName	ObservationID	ObsDataID	TraitID	TraitName	DataID	DataName	OriglName	OrigValueStr	OrigUnitStr	ValueKindName	OrigUncertaintyStr	UncertaintyName	Replicates	StdValue	UnitName	RelUncertaintyPercent	OrigObsDataID	ErrorRisk	Reference	Comment	StdValueStr	
Bernhardt-Römermann	Markus	450	BryForTrait – a life-history trait database of forest bryophytes	Discelium nudum	311121	Discelium nudum	2954567	27169255	1131	Species environmental indicator value according to Ellenberg: light	1953	Ellenberg indicator value: Light	ind_L	8	dimensionless	Single				8	dimensionless			1.01567	Bernhardt&#8208;Römermann M, Poschlod P, Hentschel J. BryForTrait – A life&#8208;history trait database of forest bryophytes. J Veg Sci. 2018;29:798–800. https://doi.org/10.1111/jvs.12646			
Bernhardt-Römermann	Markus	450	BryForTrait – a life-history trait database of forest bryophytes	Discelium nudum	311121	Discelium nudum	2954567	27169260	1133	Species environmental indicator value according to Ellenberg: nitrogen	1954	Ellenberg indicator value: nitrogen (nutrients)	ind_N	3	dimensionless	Single				3	dimensionless			0.351886	Bernhardt&#8208;Römermann M, Poschlod P, Hentschel J. BryForTrait – A life&#8208;history trait database of forest bryophytes. J Veg Sci. 2018;29:798–800. https://doi.org/10.1111/jvs.12646			
Bernhardt-Römermann	Markus	450	BryForTrait – a life-history trait database of forest bryophytes	Encalypta ciliata	314972	Encalypta ciliata	2954581	27169745	1136	Species environmental indicator value according to Ellenberg: temperature	2244	Ellenberg indicator value: temperature	ind_T	3	dimensionless	Single				3	dimensionless			1.05726	Bernhardt&#8208;Römermann M, Poschlod P, Hentschel J. BryForTrait – A life&#8208;history trait database of forest bryophytes. J Veg Sci. 2018;29:798–800. https://doi.org/10.1111/jvs.12646			
Bernhardt-Römermann	Markus	450	BryForTrait – a life-history trait database of forest bryophytes	Encalypta ciliata	314972	Encalypta ciliata	2954581	27169747	1132	Species environmental indicator value according to Ellenberg: moisture	2077	Ellenberg indicator value: Moisture	ind_F	6	dimensionless	Single				6	dimensionless			0.432867	Bernhardt&#8208;Römermann M, Poschlod P, Hentschel J. BryForTrait – A life&#8208;history trait database of forest bryophytes. J Veg Sci. 2018;29:798–800. https://doi.org/10.1111/jvs.12646			
Bernhardt-Römermann	Markus	450	BryForTrait – a life-history trait database of forest bryophytes	Encalypta ciliata	314972	Encalypta ciliata	2954581	27169755	3411	Moss: plant growth form (morphological)	7235	Bryophyte: growth form: morphological	growth_form	orthotroplagiotrop											Bernhardt&#8208;Römermann M, Poschlod P, Hentschel J. BryForTrait – A life&#8208;history trait database of forest bryophytes. J Veg Sci. 2018;29:798–800. https://doi.org/10.1111/jvs.12646	orthotrop: stems stand up vertically from the substrate; plagiotrop: shoots close to substrate, differentiation into main and lateral shoots; include thalloid bryophytes		
Bernhardt-Römermann	Markus	450	BryForTrait – a life-history trait database of forest bryophytes	Encalypta ciliata	314972	Encalypta ciliata	2954581	27169757	3413	Moss: shoot length	7237	Bryophyte: Shoot length	shoot_length	5	cm	Mean									Bernhardt&#8208;Römermann M, Poschlod P, Hentschel J. BryForTrait – A life&#8208;history trait database of forest bryophytes. J Veg Sci. 2018;29:798–800. https://doi.org/10.1111/jvs.12646			
Bernhardt-Römermann	Markus	450	BryForTrait – a life-history trait database of forest bryophytes	Encalypta ciliata	314972	Encalypta ciliata	2954581	27169758	3414	Moss: plant life form	7238	Bryophyte: Plant life form for bryophytes	life_form	turf											Bernhardt&#8208;Römermann M, Poschlod P, Hentschel J. BryForTrait – A life&#8208;history trait database of forest bryophytes. J Veg Sci. 2018;29:798–800. https://doi.org/10.1111/jvs.12646			
Bernhardt-Römermann	Markus	450	BryForTrait – a life-history trait database of forest bryophytes	Encalypta ciliata	314972	Encalypta ciliata	2954581	27169759	3415	Moss: life strategy according to During (1979)	7239	Bryophyte: Species life strategy according to During (1979) (1)	life_strat	perennial shuttle											Bernhardt&#8208;Römermann M, Poschlod P, Hentschel J. BryForTrait – A life&#8208;history trait database of forest bryophytes. J Veg Sci. 2018;29:798–800. https://doi.org/10.1111/jvs.12646			
Bernhardt-Römermann	Markus	450	BryForTrait – a life-history trait database of forest bryophytes	Encalypta ciliata	314972	Encalypta ciliata	2954581	27169760	3416	Moss: protonema persistence	7241	Bryophyte: Species protonema persistence (bryophytes)	protonema	without permanent protonema											Bernhardt&#8208;Römermann M, Poschlod P, Hentschel J. BryForTrait – A life&#8208;history trait database of forest bryophytes. J Veg Sci. 2018;29:798–800. https://doi.org/10.1111/jvs.12646			
Bernhardt-Römermann	Markus	450	BryForTrait – a life-history trait database of forest bryophytes	Encalypta ciliata	314972	Encalypta ciliata	2954581	27169761	3417	Moss: potentially hyaline hairpoint	7242	Bryophyte: Species with potentially hyaline hairpoint (bryophytes)	hyalin_hairp	without hyaline hairpoint											Bernhardt&#8208;Römermann M, Poschlod P, Hentschel J. BryForTrait – A life&#8208;history trait database of forest bryophytes. J Veg Sci. 2018;29:798–800. https://doi.org/10.1111/jvs.12646			
